0.0005	0.7	0.7	0.8
0.00063	1.2	0.8	1
0.0008	1.9	0.9	1.1
0.001	2.8	1.1	1.3
0.00125	4.2	1.3	1.4
0.0016	6.5	1.6	1.7
0.002	9.5	2	2
0.0025	13.5	2.7	2.4
0.00315	18.9	3.8	3.1
0.004	25.4	5.6	4.3
0.005	32.1	8.3	6.1
0.0063	38.8	12.7	8.9
0.008	45	20	14
0.016	62	71	49
0.0315	92	219	172
0.063	202	522	529
0.1	424	846	974
